,시도코드,시도,시군구코드,시군구, 시점 ,총인구,20-39세 여성인구,65세 이상 인구,지방소멸위험지수,지방소멸위험분류,위도(x),경도(y),점수매기기
143,47,경상북도,47760, 영양군,202302,"15,931",816,"6,410",0.127,5,36.6663,129.1199,98.14066289409863
144,47,경상북도,47770, 영덕군,202302,"34,560","1,827","14,053",0.13,5,36.4187,129.3742,97.8981406628941
145,47,경상북도,47840, 성주군,202302,"42,570","2,422","15,082",0.161,5,35.9192,128.2753,95.39207760711399
146,47,경상북도,47830, 고령군,202302,"30,319","1,765","10,566",0.167,5,35.7159,128.2435,94.90703314470494
147,47,경상북도,47250, 상주시,202302,"94,698","6,068","32,138",0.189,5,36.4074,128.1565,93.1285367825384
148,47,경상북도,47280, 문경시,202302,"69,861","4,901","22,973",0.213,4,36.5911,128.1935,91.18835893290218
149,47,경상북도,47930, 울진군,202302,"46,849","3,294","14,361",0.229,4,37.0392,129.4094,89.8949070331447
150,47,경상북도,47900, 예천군,202302,"55,697","4,224","17,708",0.239,4,36.6412,128.4405,89.08649959579627
151,47,경상북도,47940, 울릉군,202302,"8,986",610,"2,520",0.242,4,37.4835,130.8899,88.84397736459177
152,47,경상북도,47210, 영주시,202302,"100,499","7,287","29,899",0.244,4,36.8241,128.623,88.68229587712207
153,47,경상북도,47230, 영천시,202302,"100,962","7,575","31,034",0.244,4,35.9754,128.9381,88.68229587712207
154,47,경상북도,47170, 안동시,202302,"154,138","13,643","41,512",0.329,4,36.5681,128.7293,81.81083265966048
155,47,경상북도,47130, 경주시,202302,"248,893","21,160","62,332",0.339,4,35.856,129.224,81.00242522231206
156,47,경상북도,47150, 김천시,202302,"138,980","12,250","34,972",0.35,4,36.1337,128.1198,80.1131770412288
157,47,경상북도,47110, 포항시,202302,"495,229","46,748","99,567",0.47,4,36.0194,129.3434,70.4122877930477
158,47,경상북도,47850, 칠곡군,202302,"112,074","10,136","20,159",0.503,3,35.9891,128.4077,67.7445432497979
159,47,경상북도,47290, 경산시,202302,"267,490","30,470","50,123",0.608,3,35.8279,128.7373,59.256265157639454
160,47,경상북도,47190, 구미시,202302,"407,387","49,721","45,776",1.086,2,36.1222,128.3457,20.614389652384794
161,48,경상남도,48890, 합천군,202302,"41,979","2,007","17,776",0.113,5,35.5658,128.1679,99.27243330638643
162,48,경상남도,48840, 남해군,202302,"41,417","2,077","16,728",0.124,5,34.8339,127.8947,98.38318512530317
163,48,경상남도,48860, 산청군,202302,"34,103","1,699","13,610",0.125,5,35.4116,127.8785,98.30234438156832
164,48,경상남도,48720, 의령군,202302,"25,899","1,351","10,330",0.131,5,35.3192,128.2712,97.81729991915927
165,48,경상남도,48850, 하동군,202302,"42,283","2,135","16,199",0.132,5,35.0671,127.7556,97.73645917542443
166,48,경상남도,48870, 함양군,202302,"37,446","2,164","13,810",0.157,5,35.2774,128.4203,95.71544058205336
167,48,경상남도,48820, 고성군,202302,"50,103","2,840","17,109",0.166,5,35.6674,128.2337,94.9878738884398
168,48,경상남도,48740, 창녕군,202302,"58,154","3,374","20,217",0.167,5,35.5431,128.5007,94.90703314470494
169,48,경상남도,48270, 밀양시,202302,"102,682","7,028","32,647",0.215,4,35.4919,128.7472,91.0266774454325
170,48,경상남도,48730, 함안군,202302,"61,206","4,001","17,471",0.229,4,35.2774,128.4203,89.8949070331447
171,48,경상남도,48880, 거창군,202302,"60,324","4,337","18,117",0.239,4,35.6825,127.9192,89.08649959579627
172,48,경상남도,48240, 사천시,202302,"109,153","8,592","26,501",0.324,4,35.0035,128.0691,82.21503637833469
173,48,경상남도,48220, 통영시,202302,"122,172","9,435","27,730",0.34,4,34.8497,128.431,80.9215844785772
174,48,경상남도,48170, 진주시,202302,"343,167","37,773","64,858",0.582,3,35.1998,128.0841,61.35812449474536
175,48,경상남도,48120, 창원시,202302,"1,018,699","108,738","172,005",0.632,3,35.2372,128.6811,57.31608730800324
176,48,경상남도,48330, 양산시,202302,"353,744","38,465","56,268",0.684,3,35.3381,129.0267,53.11236863379143
177,48,경상남도,48310, 거제시,202302,"235,638","22,591","31,593",0.715,3,34.8882,128.61,50.60630557801132
178,48,경상남도,48250, 김해시,202302,"534,212","58,511","70,985",0.824,3,35.2279,128.8738,41.794664510913506
179,41,경기도,41800, 연천군,202302,"41,830","3,343","12,440",0.269,4,38.0966,127.0654,86.66127728375102
180,41,경기도,41820, 가평군,202302,"62,069","4,867","17,988",0.271,4,37.8317,127.5096,86.49959579628133
181,41,경기도,41830, 양평군,202302,"122,478","9,381","34,613",0.271,4,37.4914,127.4871,86.49959579628133
182,41,경기도,41670, 여주시,202302,"113,243","10,367","27,519",0.377,4,37.2973,127.6281,77.93047696038803
183,41,경기도,41650, 포천시,202302,"145,927","13,340","33,243",0.401,4,37.8944,127.2007,75.99029911075182
184,41,경기도,41250, 동두천시,202302,"90,883","9,094","20,607",0.441,4,37.9018,127.06,72.75666936135814
185,41,경기도,41550, 안성시,202302,"188,634","19,740","36,671",0.538,3,37.005,127.2646,64.91511721907843
186,41,경기도,41630, 양주시,202302,"248,568","27,455","42,551",0.645,3,37.7854,127.0451,56.26515763945028
187,41,경기도,41360, 남양주시,202302,"736,484","84,104","116,429",0.722,3,37.604,127.1683,50.04042037186742
188,41,경기도,41500, 이천시,202302,"222,306","26,476","35,144",0.753,3,37.2647,127.4424,47.53435731608731
189,41,경기도,41610, 광주시,202302,"390,950","45,825","60,257",0.76,3,37.4085,127.256,46.96847210994341
190,41,경기도,41150, 의정부시,202302,"463,053","59,726","78,351",0.762,3,37.738,127.0473,46.80679062247373
191,41,경기도,41210, 광명시,202302,"286,584","35,242","45,466",0.775,3,37.4782,126.8647,45.755860953920774
192,41,경기도,41190, 부천시,202302,"787,673","102,368","127,274",0.804,3,37.5034,126.7667,43.41147938561035
193,41,경기도,41480, 파주시,202302,"495,810","59,824","74,364",0.804,3,37.7599,126.7759,43.41147938561035
194,41,경기도,41310, 구리시,202302,"188,436","23,702","29,446",0.805,3,37.6034,127.1396,43.3306386418755
195,41,경기도,41430, 의왕시,202302,"159,701","20,648","25,205",0.819,3,37.3445,126.9733,42.19886822958772
196,41,경기도,41460, 용인시,202302,"1,074,133","131,045","158,774",0.825,3,37.2411,127.1774,41.71382376717867
197,41,경기도,41410, 군포시,202302,"265,648","34,069","41,232",0.826,3,37.3611,126.9357,41.63298302344382
198,41,경기도,41170, 안양시,202302,"547,583","72,229","85,408",0.846,3,37.3943,126.9568,40.01616814874697
199,41,경기도,41130, 성남시,202302,"924,051","124,020","146,388",0.847,3,37.4232,127.1388,39.935327405012124
200,41,경기도,41280, 고양시,202302,"1,078,087","140,140","165,033",0.849,3,37.6584,126.832,39.773645917542446
201,41,경기도,41570, 김포시,202302,"484,536","59,768","67,737",0.882,3,37.6153,126.7156,37.10590137429264
202,41,경기도,41290, 과천시,202302,"78,526","10,574","11,294",0.936,3,37.4274,126.9893,32.74050121261115
203,41,경기도,41450, 하남시,202302,"326,704","44,454","45,156",0.984,3,37.5404,127.2179,28.860145513338725
204,41,경기도,41220, 평택시,202302,"581,524","73,479","74,141",0.991,3,36.9946,127.0981,28.29426030719483
205,41,경기도,41270, 안산시,202302,"639,355","83,830","82,626",1.015,2,37.3155,126.829,26.35408245755862
206,41,경기도,41110, 수원시,202302,"1,192,686","170,562","148,903",1.145,2,37.2636,127.0286,15.844785772029098
207,41,경기도,41370, 오산시,202302,"229,415","29,388","25,453",1.155,2,37.1499,127.077,15.036378334680675
208,41,경기도,41390, 시흥시,202302,"515,058","65,157","55,737",1.169,2,37.3807,126.8069,13.90460792239288
209,41,경기도,41590, 화성시,202302,"918,865","121,509","90,638",1.341,2,37.1995,126.8312,-0.0
210,42,강원도,42730, 횡성군,202302,"46,462","2,863","15,380",0.186,5,37.4887,127.9846,93.37105901374294
211,42,강원도,42770, 정선군,202302,"34,825","2,071","10,967",0.189,5,37.3791,128.8183,93.1285367825384
212,42,강원도,42760, 평창군,202302,"40,861","2,463","13,003",0.189,5,37.3703,128.3924,93.1285367825384
213,42,강원도,42750, 영월군,202302,"37,561","2,364","12,302",0.192,5,37.1849,37.1849,92.88601455133389
214,42,강원도,42830, 양양군,202302,"27,849","1,833","9,104",0.201,4,38.1061,128.6281,92.15844785772029
215,42,강원도,42820, 고성군,202302,"27,197","1,938","8,574",0.226,4,38.3803,128.4675,90.13742926434925
216,42,강원도,42720, 홍천군,202302,"67,815","4,912","20,388",0.241,4,37.6911,127.8787,88.9248181083266
217,42,강원도,42190, 태백시,202302,"39,131","2,685","11,012",0.244,4,37.1598,128.985,88.68229587712207
218,42,강원도,42230, 삼척시,202302,"63,028","5,171","17,582",0.294,4,37.4442,129.1657,84.64025869037995
219,42,강원도,42780, 철원군,202302,"42,064","3,604","10,738",0.336,4,38.2153,127.2563,81.24494745351657
220,42,강원도,42790, 화천군,202302,"23,230","2,073","5,934",0.349,4,38.1052,127.7067,80.19401778496363
221,42,강원도,42170, 동해시,202302,"89,234","7,441","20,134",0.37,4,37.5209,129.123,78.49636216653194
222,42,강원도,42800, 양구군,202302,"21,287","1,926","5,120",0.376,4,38.1059,127.9894,78.01131770412289
223,42,강원도,42810, 인제군,202302,"32,126","2,879","7,345",0.392,4,38.0701,128.171,76.7178658043654
224,42,강원도,42150, 강릉시,202302,"210,940","20,149","50,013",0.403,4,37.751,128.8764,75.82861762328214
225,42,강원도,42210, 속초시,202302,"82,685","7,836","17,721",0.442,4,38.2049,128.5644,72.6758286176233
226,42,강원도,42110, 춘천시,202302,"286,839","33,894","56,403",0.601,3,37.8816,127.7291,59.82215036378336
227,42,강원도,42130, 원주시,202302,"360,933","42,608","61,513",0.693,3,37.3418,127.9201,52.38480194017786
